r,g,b,image_id,subject_name,hex,UnifiedQualityScore.scalar,BackgroundUniformity.scalar,IlluminationUniformity.scalar,LuminanceMean.scalar,LuminanceVariance.scalar,UnderExposurePrevention.scalar,OverExposurePrevention.scalar,DynamicRange.scalar,Sharpness.scalar,NoCompressionArtifacts.scalar,NaturalColour.scalar,SingleFacePresent.scalar,EyesOpen.scalar,MouthClosed.scalar,EyesVisible.scalar,MouthOcclusionPrevention.scalar,FaceOcclusionPrevention.scalar,InterEyeDistance.scalar,HeadSize.scalar,LeftwardCropOfFace.scalar,RightwardCropOfFace.scalar,MarginAboveTheFace.scalar,MarginBelowTheFace.scalar,HeadPoseYawFrontal.scalar,HeadPosePitchFrontal.scalar,HeadPoseRollFrontal.scalar,ExpressionNeutrality.scalar,NoHeadCoverings.scalar,magface,lum,hue,lum_std,hue_std,red,green,blue,red_std,green_std,blue_std,age,gender,race,emotion,skintone
18.598.211.973,15.624.792.423,14.413.728.738,091_09.jpg,91,#ba9c90,14,92,82,93,100,100,100,85,99,100,100,100,100,90,98,100,97,60,3,100,100,100,85,55,98,99,16,100,254.412.652.898.042,6.836.003.212.943.050,4.976.706.531.490.730,33.239.875.844.819.600,66.127.690.196.870.200,0.7755381764302473,0.6419705373046104,0.5955209105302453,0.0036423562923393,0.0235017163435135,0.0399967683476084,27.0,f,white,happy,1
18.372.371.604,15.508.647.777,14.312.718.627,091_02.jpg,91,#b89b8f,40,91,63,94,100,100,100,86,99,100,100,100,100,96,98,100,97,63,3,100,100,100,97,67,99,100,97,100,28.541.673.619.377.600,7.134.039.357.830.960,4.687.272.625.140.860,22.306.747.028.705.900,9.148.367.126.786.010,0.7644314871492215,0.6696851286049603,0.6236015773350158,0.0044158121772364,0.0203453035931572,0.0179875918695728,32.0,f,white,fear,1
17.791.908.189,14.866.531.017,13.902.925.558,091_08.jpg,91,#b2958b,69,80,86,89,99,100,100,86,99,100,100,100,100,90,100,100,99,60,4,100,100,100,79,100,99,100,10,100,28.122.161.305.312.300,6.606.223.036.272.250,448.937.734.304.933,27.610.945.363.974.300,32.911.553.649.176.000,0.7257459941625898,0.6087314906334225,0.5666184526965155,0.0290363033014337,0.0288053799981111,0.0326428960881608,26.0,f,white,happy,1
18.509.879.152,1.558.079.716,14.401.663.686,091_07.jpg,91,#b99c90,44,90,74,93,99,100,100,86,99,100,100,100,100,91,99,100,97,63,4,100,100,100,78,68,99,100,20,100,2.759.276.740.667.060,7.236.500.847.447.460,4.332.577.042.553.220,0.6313345006547785,11.699.854.151.287.400,0.7734812071154522,0.6610723890852511,0.6210881599381396,0.0049522706603549,0.0145834855833786,0.0069624375319014,32.0,f,white,happy,1
17.423.242.002,14.427.943.305,13.497.082.897,091_03.jpg,91,#ae9087,59,76,76,86,97,100,100,85,99,100,100,100,100,96,100,100,100,60,4,100,100,99,96,99,100,100,99,100,27.097.293.004.346.400,6.538.243.367.460.970,4.046.109.524.515.140,35.714.067.108.034.700,2.492.219.624.914.660,0.7238507235653732,0.5993304029073071,0.5537351795583956,0.0350208098394999,0.0493630134568356,0.0483269635078928,27.0,f,white,neutral,1
17.014.692.764,14.030.421.386,12.948.286.284,123_03.jpg,123,#aa8c81,69,64,89,76,96,100,100,84,100,100,100,100,100,96,100,100,100,50,3,100,100,99,100,100,100,100,99,100,29.873.820.479.036.200,6.397.403.109.326.410,4.911.853.659.446.340,3.889.594.662.779.930,2.566.285.222.492.980,0.7123180458653503,0.579527451653974,0.5250041666991083,0.0408495152004497,0.0409161686300478,0.0472053085009079,21.0,m,white,neutral,2
17.928.303.225,15.055.190.149,13.956.365.755,123_09.jpg,123,#b3978c,42,91,39,87,100,100,100,87,99,100,100,100,99,97,100,100,98,54,3,100,100,100,98,61,100,100,98,100,28.455.066.165.962.800,658.635.749.774.988,4.612.202.930.228.740,4.321.691.538.389.300,17.254.221.396.660.500,0.7246290346602124,0.6041950985354004,0.5493121845863336,0.0477495319168338,0.0470202351549742,0.0486625082646038,23.0,m,latino hispanic,sad,2
17.499.607.451,14.700.742.274,13.546.534.865,123_07.jpg,123,#af9387,54,87,42,86,100,100,100,86,100,100,100,100,100,96,99,100,98,47,2,100,100,100,100,60,100,100,97,100,2.849.298.810.578.290,6.222.564.876.687.150,4.996.457.497.795.680,860.413.373.237.466,26.083.090.016.105.200,0.6721367674577331,0.5646195914476645,0.5142049493220864,0.0976580471599511,0.0880149998142198,0.0921869383288397,28.0,m,white,sad,2
17.591.552.056,14.745.410.817,13.720.508.801,123_02.jpg,123,#b09389,45,86,28,86,100,100,100,87,100,100,100,100,100,97,98,100,97,53,2,100,100,99,100,54,100,100,96,100,27.500.796.709.636.700,6.312.029.955.174.090,4.766.268.691.217.210,5.029.944.256.731.380,1.332.566.808.947.730,0.6960266545808415,0.5687175153334865,0.5177565686784561,0.0600399671890363,0.0529593529270824,0.0558348074755494,24.0,m,white,sad,2
17.913.074.794,15.048.007.203,13.996.135.344,123_04.jpg,123,#b3968c,34,90,0,86,100,100,100,87,100,100,100,100,99,96,100,100,98,52,3,100,100,97,100,61,100,100,97,100,2.852.676.918.211.590,6.523.314.274.270.440,45.774.433.619.550.600,4.669.171.739.748.660,8.669.740.794.582.780,0.7112205605709583,0.6012696255832257,0.5372639439211313,0.035120784299913,0.0521491936940059,0.0392023365131587,22.0,m,middle eastern,angry,2
17.069.840.605,1.403.881.396,12.932.743.204,123_08.jpg,123,#ab8c81,72,66,75,75,97,100,100,85,100,100,100,100,100,96,100,100,100,49,3,100,100,100,99,100,100,100,97,100,29.622.881.534.508.600,6.410.889.906.790.140,47.649.006.893.569.900,4.553.169.829.702.470,21.916.968.843.605.500,0.7061111780623215,0.5844259350390046,0.531373798006071,0.040456369373707,0.0440981707667841,0.0461477208486778,21.0,m,white,happy,2
15.372.070.191,11.918.500.277,10.073.479.239,045_02.jpg,45,#9a7765,70,88,71,59,94,100,100,83,95,100,100,100,100,95,100,100,94,48,3,100,100,99,98,77,100,100,97,100,2.923.952.142.550.050,589.823.648.686.984,5.499.280.312.285.300,4.664.539.535.495.430,27.302.458.858.884.000,0.6708071584050012,0.5018739157668931,0.4297360031652171,0.0635182748669334,0.0882778455346718,0.0678185393701628,27.0,m,asian,sad,5
164.016.745,12.654.631.841,10.503.551.892,045_09.jpg,45,#a47f69,41,88,62,63,97,100,100,83,96,100,100,100,99,96,100,100,94,47,3,100,100,100,90,63,99,99,94,100,2.817.883.619.317.660,5.903.065.873.595.350,5.614.942.114.128.020,6.138.687.271.209.250,2.459.424.552.216.150,0.6757232540133679,0.52423453595135,0.4369418048670042,0.0770434674928366,0.0614358139234982,0.049509949129882,24.0,m,asian,neutral,5
15.996.951.095,12.601.657.459,10.727.139.057,045_08.jpg,45,#a07e6b,69,81,87,59,90,100,100,82,99,100,100,100,100,96,100,100,99,48,4,100,100,100,80,100,100,100,43,100,287.205.560.913.032,583.084.692.625.527,5.493.434.460.322.920,4.544.902.469.889.490,2.845.107.875.621.620,0.6624458878671308,0.5275104664877434,0.4394755752553828,0.0596875946692829,0.0520256011931101,0.0529089820689131,23.0,m,asian,neutral,5
16.358.593.258,12.672.630.466,10.543.750.472,045_04.jpg,45,#a47f69,37,87,67,64,97,100,100,83,98,100,100,100,99,95,100,100,93,47,3,100,100,99,98,55,99,99,92,100,2.641.822.431.506.440,589.278.187.081.626,559.893.243.478.003,4.939.406.364.780.460,28.813.165.354.800.100,0.6674954505653918,0.5291990389100554,0.4345488116762663,0.0552115703085758,0.0528043435000566,0.0460453926675712,30.0,m,white,neutral,5
15.961.338.712,12.549.511.336,10.616.290.698,045_03.jpg,45,#a07d6a,77,79,83,60,92,100,100,83,99,100,100,100,100,96,100,100,99,46,4,100,100,99,92,100,100,100,98,100,2.961.481.329.872.030,5.934.674.249.713.180,5.739.036.414.606.490,5.480.153.690.396.600,5.002.984.830.917.300,0.6742151232827556,0.5356982091696244,0.4320457551884752,0.0673145046735441,0.0549778370259699,0.0726606561373484,26.0,m,asian,neutral,5
15.705.712.748,12.096.914.847,10.162.587.895,045_07.jpg,45,#9d7966,55,91,70,64,95,100,100,83,98,100,100,100,100,96,100,100,94,48,3,100,100,100,93,69,99,100,79,100,28.240.419.658.084.800,6.156.369.783.644.170,5.274.056.484.139.400,5.357.140.490.891.210,5.714.113.505.167.730,0.692574407251331,0.5467956334089586,0.4662751202787106,0.079912132175233,0.0412859617188545,0.0369996919499623,27.0,m,asian,neutral,5
9.740.378.506,7.357.225.197,6.394.306.526,099_03.jpg,99,#614a40,80,92,83,8,38,91,100,65,100,100,100,100,100,96,100,100,100,65,9,100,100,64,77,100,100,100,96,100,30.058.449.204.518.500,3.885.283.694.529.730,4.044.432.186.757.800,9.673.287.788.587.440,2.133.422.022.258.140,0.4271679709162538,0.321882008455399,0.2736109146239361,0.0907343567750801,0.08820976798997,0.1067710617522449,24.0,m,black,neutral,9
9.913.771.066,7.454.760.341,6.478.982.272,099_08.jpg,99,#634b41,86,93,91,9,75,95,100,68,99,100,100,100,100,83,100,100,100,65,9,100,100,87,38,100,100,100,13,100,30.132.034.982.104.100,34.779.906.517.259.100,4.356.170.116.960.480,5.745.305.794.584.600,138.226.172.130.793,0.3966471230474802,0.2881265389494558,0.2458072887033266,0.0463133900346277,0.0614475089254585,0.06829133836882,24.0,m,black,neutral,9
17.403.158.958,13.715.442.427,11.643.451.692,005_03.jpg,5,#ae8974,93,87,90,75,92,100,100,83,99,100,100,100,98,96,100,100,100,61,5,100,100,90,93,100,100,100,97,100,3.226.175.980.425.720,6.270.223.758.960.860,5.554.439.248.175.710,5.896.932.222.869.320,3.513.269.146.250.260,0.7180723951863746,0.5637094280698812,0.4758232359766775,0.0465016021075824,0.0575814562054675,0.0604034701056239,25.0,m,asian,neutral,5
1.780.491.025,1.415.592.011,11.953.316.104,005_07.jpg,5,#b28e78,70,88,63,87,99,100,100,86,99,100,100,100,96,96,99,100,96,61,5,100,100,99,82,54,100,100,94,100,2.956.184.021.873.760,6.335.798.764.344.760,5.538.788.334.515.000,32.160.042.209.094.200,8.147.830.310.367.340,0.7399628832310542,0.5798902063750454,0.4976298969736943,0.0325626163213815,0.0388027110903817,0.0405513763949899,31.0,m,asian,sad,5
17.516.483.068,13.847.042.024,11.763.078.695,005_08.jpg,5,#af8a76,95,88,88,75,93,100,100,83,99,100,100,100,97,96,100,100,99,66,5,100,100,99,74,100,100,100,96,100,31.975.466.847.878.100,6.257.184.804.202.760,542.304.731.592.105,5.423.766.774.943.350,3.957.867.547.868.250,0.729294387669439,0.5554928248851269,0.4699469783516026,0.0402935931824575,0.0605414836832052,0.0467670579121148,25.0,m,asian,neutral,5
15.860.051.418,1.230.559.355,10.079.300.619,094_03.jpg,94,#9f7b65,83,81,87,51,74,100,100,79,99,100,100,100,100,96,100,100,99,66,5,100,100,96,89,100,100,100,98,100,2.995.253.569.802.100,5.520.914.975.228.230,5.802.528.966.265.240,4.068.519.366.143.280,23.394.241.327.564.000,0.6445784504830031,0.480960884555771,0.3857197329241644,0.043958399875342,0.0406056287060364,0.0388136723070192,33.0,f,white,neutral,5
15.880.340.424,1.215.374.403,9.788.606.956,094_04.jpg,94,#9f7a62,40,90,59,56,86,100,100,81,96,100,100,100,100,96,100,100,98,62,5,100,100,98,91,64,99,100,96,100,28.025.178.225.799.200,5.801.920.944.572.710,54.617.792.791.216.200,0.8915777199655779,7.203.773.926.557.400,0.6630329804426621,0.5142175140382347,0.4090031933283717,0.0281190827031245,0.0163185187635258,0.0522467360182141,31.0,f,white,neutral,5
15.246.346.216,11.482.976.458,9.346.926.723,094_09.jpg,94,#98735d,61,90,90,51,84,100,100,81,99,100,100,100,99,77,100,100,98,64,5,100,100,100,41,72,96,99,15,100,2.905.768.915.558.450,521.621.401.417.256,5.491.792.665.812.230,5.841.254.920.927.400,2.560.821.479.447.550,0.6138770531822438,0.4570793597894301,0.3710272620414324,0.0707765621753956,0.0495395637119468,0.0399362480135174,32.0,f,white,happy,5
