Filename,UnifiedQualityScore.native,BackgroundUniformity.native,IlluminationUniformity.native,LuminanceMean.native,LuminanceVariance.native,UnderExposurePrevention.native,OverExposurePrevention.native,DynamicRange.native,Sharpness.native,NoCompressionArtifacts.native,NaturalColour.native,SingleFacePresent.native,EyesOpen.native,MouthClosed.native,EyesVisible.native,MouthOcclusionPrevention.native,FaceOcclusionPrevention.native,InterEyeDistance.native,HeadSize.native,LeftwardCropOfFace.native,RightwardCropOfFace.native,MarginAboveTheFace.native,MarginBelowTheFace.native,HeadPoseYawFrontal.native,HeadPosePitchFrontal.native,HeadPoseRollFrontal.native,ExpressionNeutrality.native,NoHeadCoverings.native,UnifiedQualityScore.scalar,BackgroundUniformity.scalar,IlluminationUniformity.scalar,LuminanceMean.scalar,LuminanceVariance.scalar,UnderExposurePrevention.scalar,OverExposurePrevention.scalar,DynamicRange.scalar,Sharpness.scalar,NoCompressionArtifacts.scalar,NaturalColour.scalar,SingleFacePresent.scalar,EyesOpen.scalar,MouthClosed.scalar,EyesVisible.scalar,MouthOcclusionPrevention.scalar,FaceOcclusionPrevention.scalar,InterEyeDistance.scalar,HeadSize.scalar,LeftwardCropOfFace.scalar,RightwardCropOfFace.scalar,MarginAboveTheFace.scalar,MarginBelowTheFace.scalar,HeadPoseYawFrontal.scalar,HeadPosePitchFrontal.scalar,HeadPoseRollFrontal.scalar,ExpressionNeutrality.scalar,NoHeadCoverings.scalar,glasses
Multi-PIE/well-litFrontalNeutralProbes/withoutGlasses/189_01_01_051_17.png,25.725.035,84.884.300,0.115917,0.221762,0.013426,0.159255,0,6.818.214,38,0.987315,100,0,0.062987,0,0,0,0.009903,70.086.595,0.266870,5.169.319,4.969.401,1.436.405,2.310.738,2.331.704,-0.745453,1.287.517,11.483.614.258,0,74,61,52,61,99,100,100,85,99,100,0,100,99,97,100,100,99,50,5,100,100,59,99,100,100,100,96,100,n
Multi-PIE/well-litFrontalNeutralProbes/withoutGlasses/261_02_01_051_16.png,23.676.262,146.892.711,0.705882,0.246152,0.014509,0.126015,0,6.910.676,28,0.990217,100,0,0.089064,0,0,0,0.049681,67.192.398,0.261560,5.531.771,5.009.906,1.583.544,2.255.351,3.499.161,3.854.013,1.917.408,16.791.302.734,0,56,39,90,72,99,100,100,86,96,100,0,100,100,97,100,100,95,46,5,100,100,86,99,100,100,100,99,100,n
Multi-PIE/well-litFrontalNeutralProbes/withoutGlasses/071_01_01_051_15.png,27.347.191,94.710.836,0.192907,0.192468,0.013825,0.297924,0,6.740.548,36,0.989327,100,0,0.098275,0.031231,0,0,0.003370,73.161.430,0.266831,5.033.545,4.718.949,1.639.824,2.108.346,-2.158.744,4.644.411,2.596.915,9.545.308.594,0.000013,84,57,61,46,99,100,100,84,98,100,0,100,100,94,100,100,100,54,5,100,100,92,96,100,99,100,95,100,n
Multi-PIE/well-litFrontalNeutralProbes/withoutGlasses/262_02_01_051_06.png,31.206.938,87.608.877,0.589965,0.240033,0.014389,0.131268,0,6.909.021,43,0.993952,0.577016,0,0.077798,0.007401,0,0,0.003191,71.043.890,0.281483,5.124.728,4.885.386,1.436.052,2.117.067,1.205.599,5.683.928,0.855488,4.762.274.414,0,96,60,85,69,99,100,100,86,99,100,97,100,100,96,100,100,100,51,7,100,100,59,96,100,99,100,88,100,n
Multi-PIE/well-litFrontalNeutralProbes/withoutGlasses/272_02_01_051_07.png,26.815.001,200.020.207,0.694215,0.467852,0.038503,0.023254,0.000272,7.627.892,33,0.989094,100,0,0.114532,0,0,0,0.013927,68.554.153,0.265762,5.112.490,5.258.980,1.489.429,2.273.339,-5.271.608,4.755.351,5.997.394,3.710.878.662,0,81,25,90,99,81,100,97,95,98,100,0,100,100,97,100,100,99,48,5,100,100,71,99,99,99,99,85,100,n
Multi-PIE/well-litFrontalNeutralProbes/withoutGlasses/002_01_01_051_17.png,29.690.556,67.601.142,0.434343,0.146308,0.006842,0.359137,0,6.300.625,24,0.983891,100,0,0.090900,0.007691,0,0,0.003852,69.027.762,0.270883,5.159.420,5.115.942,1.507.291,2.184.034,1.625.060,5.642.955,-1.763.969,9.378.510.742,0,93,68,78,25,79,100,100,79,95,100,0,100,100,96,100,100,100,49,5,100,100,75,98,100,99,100,95,100,n
Multi-PIE/well-litFrontalNeutralProbes/withoutGlasses/210_01_01_051_16.png,22.301.552,155.745.190,0.539352,0.219467,0.018191,0.165787,0,6.910.481,19,0.990685,3.936.379,0,0.089529,0,0.123327,0,0.078978,69.368.305,0.251180,5.110.043,5.168.112,1.615.713,2.381.928,-6.774.660,-5.291.973,7.660.134,13.199.432.617,0,43,36,83,60,100,100,100,86,93,100,81,100,100,97,88,100,92,49,4,100,100,90,100,99,99,98,97,100,n
Multi-PIE/well-litFrontalNeutralProbes/withoutGlasses/267_02_01_051_16.png,26.431.612,152.520.274,0.746556,0.257348,0.018132,0.146784,0,7.061.118,40,0.990687,100,0,0.115977,0,0,0,0.005555,67.083.538,0.245060,5.501.950,5.039.727,1.596.833,2.501.990,-1.267.227,3.025.971,3.290.482,14.597.353.516,0,79,37,92,76,100,100,100,88,99,100,0,100,100,97,100,100,99,46,3,100,100,88,100,100,100,100,98,100,n
Multi-PIE/well-litFrontalNeutralProbes/withoutGlasses/158_01_01_051_07.png,24.330.677,214.834.172,0.512111,0.436218,0.017530,0.014033,0,7.064.632,33,0.989501,100,0,0.111441,0.007984,0,0,0.003652,66.500.697,0.260949,5.836.071,4.783.172,2.011.884,1.820.276,-1.318.835,0.343075,5.008.794,15.408.371.094,0,63,22,82,99,100,100,100,88,98,100,0,100,100,96,100,100,100,46,4,100,100,100,55,100,100,99,98,100,n
Multi-PIE/well-litFrontalNeutralProbes/withoutGlasses/215_01_01_051_08.png,25.121.119,137.519.841,0.405709,0.273479,0.018280,0.097056,0,7.065.312,40,0.992007,100,0,0.114501,0.011673,0,0,0.005686,68.495.963,0.252393,5.374.697,4.965.753,1.782.933,2.179.141,1.608.562,7.228.798,5.269.494,15.959.310.547,0,69,41,76,81,100,100,100,88,99,100,0,100,100,96,100,100,99,48,4,100,100,98,98,100,98,99,99,100,n
